Facility/HHS Code,Facility/HHS Desc,Last Month in QTR,Triage_Category,Number of Attendances,Variation in the number of attendances (%),Patients Seen within clinically recommended times (%),Median Waiting time to treatment (minutes),Patients who did not wait for treatment (%),Patients admitted from the Emergency Department (%),Admissions to hospital within 4 hours (%),Patients whose ED stay was within 4 hours (%),Number of patients who left after treatment commenced,Percentage of patients who left after treatment commenced (%),Number of patients who did not wait for treatment
224,Mossman,Sep-25,5,757,-44.3,90.9,26,9.1,5.5,92.9,91.9,2,0.3,69
224,Mossman,Sep-25,ALL,3643,-19,78.5,18,5.2,13.4,34.4,78.5,13,0.4,191
226,Thursday Island,Sep-25,1,3,-40,100,0,0,66.7,0,0,0,0,0
226,Thursday Island,Sep-25,2,146,-5.2,93.8,1,0,47.9,47.1,52.7,1,0.7,0
226,Thursday Island,Sep-25,3,289,-10.8,91.4,6,2.1,34.3,62.6,73.4,4,1.4,6
226,Thursday Island,Sep-25,4,605,-5.2,96.1,9,6,8.8,52.8,85.6,6,1,36
226,Thursday Island,Sep-25,5,357,-19,98.4,9,5.6,4.5,81.3,94.1,0,0,20
226,Thursday Island,Sep-25,ALL,1400,-10.4,95.2,7,4.4,17.1,56.7,81.6,11,0.8,62
227,Tully,Sep-25,1,15,-16.7,100,0,0,93.3,57.1,53.3,0,0,0
227,Tully,Sep-25,2,248,40.1,83.4,6,0,54.8,53.7,67.7,1,0.4,0
227,Tully,Sep-25,3,603,9.2,80.5,12,1.2,29.9,56.7,80.6,6,1,7
227,Tully,Sep-25,4,1185,-6.5,83.6,18,2.9,10.3,72.1,92.7,2,0.2,34
227,Tully,Sep-25,5,409,-2.9,96.6,27,5.6,4.2,82.4,93.9,1,0.2,23
227,Tully,Sep-25,ALL,2460,1,84.6,14,2.6,19.1,60.8,87.2,10,0.4,64
228,Weipa,Sep-25,1,9,-10,100,0,0,44.4,50,44.4,0,0,0
228,Weipa,Sep-25,2,239,29.2,63.7,5,0.8,31.8,50,59,4,1.7,2
228,Weipa,Sep-25,3,548,10.7,60.3,23,1.6,17.7,55.7,78.6,10,1.8,9
228,Weipa,Sep-25,4,1031,11.9,70,36,6,3.1,43.8,89.9,7,0.7,62
228,Weipa,Sep-25,5,476,5.8,93.2,37,7.8,0.6,66.7,95.4,1,0.2,37
228,Weipa,Sep-25,ALL,2303,11.7,71.4,28,4.8,9.2,51.9,85,22,1,110
243,Cloncurry MPHS,Sep-25,1,2,0,100,1,0,0,-,0,0,0,0
243,Cloncurry MPHS,Sep-25,2,158,90.4,95.5,2,0.6,40.5,85.9,88,2,1.3,1
243,Cloncurry MPHS,Sep-25,3,373,26,95.9,3,1.3,20.1,81.3,91.2,7,1.9,5
243,Cloncurry MPHS,Sep-25,4,344,-13.6,97.4,2,2.9,4.4,93.3,97.7,7,2,10
243,Cloncurry MPHS,Sep-25,5,459,-3.2,99.1,4,4.4,4.6,95.2,96.7,1,0.2,20
243,Cloncurry MPHS,Sep-25,ALL,1336,6.6,97.2,3,2.7,13.1,85.7,94.2,17,1.3,36
245,Julia Creek MPHS,Sep-25,1,0,-100,-,-,-,-,-,-,0,-,0
245,Julia Creek MPHS,Sep-25,2,19,111.1,100,0,0,15.8,33.3,52.6,0,0,0
245,Julia Creek MPHS,Sep-25,3,82,9.3,97.6,0,0,15.9,100,92.7,0,0,0
245,Julia Creek MPHS,Sep-25,4,144,-11.7,97.4,0,0,0.7,100,97.2,0,0,0
245,Julia Creek MPHS,Sep-25,5,181,7.7,100,2,1.7,0,-,100,0,0,3
245,Julia Creek MPHS,Sep-25,ALL,426,2.4,98.5,0,0.7,4,88.2,95.5,0,0,3
246,Mount Isa,Sep-25,1,29,-37,100,0,0,72.4,38.1,44.8,0,0,0
246,Mount Isa,Sep-25,2,945,-6.7,86.3,5,0,43.5,55.7,64.6,22,2.3,0
246,Mount Isa,Sep-25,3,2924,7.3,72.9,15,3.7,22.4,45.3,72.7,97,3.3,109
246,Mount Isa,Sep-25,4,4156,-0.8,70.6,34,6.5,5.5,57.2,88.9,123,3,271
246,Mount Isa,Sep-25,5,1144,-17.7,95.7,31,7.7,1.7,80,96.6,26,2.3,88
246,Mount Isa,Sep-25,ALL,9198,-1.8,75.8,20,5.1,14.5,50.9,82.1,268,2.9,468
247,Normanton,Sep-25,1,2,-,100,0,0,0,-,50,0,0,0
247,Normanton,Sep-25,2,59,0,94.9,0,0,39,78.3,74.6,0,0,0
247,Normanton,Sep-25,3,265,-4.3,96.5,0,1.1,26,89.9,90.9,8,3,3
247,Normanton,Sep-25,4,357,-8,98.5,1,2.8,8.4,93.3,96.4,0,0,10
247,Normanton,Sep-25,5,228,70.1,99.5,0,1.8,3.1,100,97.4,0,0,4
247,Normanton,Sep-25,ALL,911,6.2,97.9,0,1.9,14.2,89.1,93.5,8,0.9,17
249,Mornington Island,Sep-25,1,5,400,100,0,0,0,-,20,0,0,0
249,Mornington Island,Sep-25,2,63,-3.1,93.5,0,1.6,6.3,25,50.8,7,11.1,1
249,Mornington Island,Sep-25,3,287,75,95,2,2.1,5.6,81.3,74.9,17,5.9,6
249,Mornington Island,Sep-25,4,563,0.4,96.8,3,8.5,1.6,77.8,92.4,22,3.9,48
249,Mornington Island,Sep-25,5,266,52,100,2,5.6,0.8,100,98.5,6,2.3,15
249,Mornington Island,Sep-25,ALL,1184,22.6,96.9,2,5.9,2.6,74.2,87,52,4.4,70
252,Doomadgee,Sep-25,1,11,266.7,100,0,0,9.1,100,54.5,1,9.1,0
252,Doomadgee,Sep-25,2,139,-15.2,93.5,3,0.7,17.3,91.7,71.9,6,4.3,1
252,Doomadgee,Sep-25,3,514,-27.2,88.1,10,4.5,7.8,72.5,90.5,14,2.7,23
252,Doomadgee,Sep-25,4,770,-12.1,93.8,14,10.3,1,75,97.5,4,0.5,79
252,Doomadgee,Sep-25,5,472,6.3,98.5,13,6.6,1.3,100,97.5,4,0.8,31
252,Doomadgee,Sep-25,ALL,1906,-13.1,93.3,10,7,4.1,81,93.5,29,1.5,134
934,Robina,Sep-25,1,111,-7.5,98.2,1,0,55.9,45.2,51.4,0,0,0
934,Robina,Sep-25,2,4587,5.8,72.7,7,0.3,39.7,42.5,50.3,184,4,14
934,Robina,Sep-25,3,9561,8.5,75.8,15,1,33.8,34.6,48.2,427,4.5,98
934,Robina,Sep-25,4,4095,6.9,86.1,18,2.2,14.2,36.3,67.2,221,5.4,91
934,Robina,Sep-25,5,306,-16.4,96.1,14,7.2,9.2,39.3,80.4,25,8.2,22
934,Robina,Sep-25,ALL,18660,6.9,77.7,12,1.2,30.7,37.4,53.4,857,4.6,225
936,Gold Coast University,Sep-25,1,632,-22.8,99.7,1,0,75.5,39.6,38.9,12,1.9,0
936,Gold Coast University,Sep-25,2,9479,11,62.4,7,0.5,39.2,17.5,30.9,497,5.2,47
936,Gold Coast University,Sep-25,3,14986,-0.4,61.9,21,3.1,31.1,15.9,36.2,1156,7.7,472
936,Gold Coast University,Sep-25,4,6394,-4.2,75.2,22,6.3,10.6,17.9,58.4,530,8.3,405
936,Gold Coast University,Sep-25,5,483,-15.7,86,22,11.2,4.3,57.1,71.8,52,10.8,54
936,Gold Coast University,Sep-25,ALL,31974,1,65.7,14,3.1,29.9,17.9,39.7,2247,7,978
99999,Queensland,Sep-25,1,5753,3,99.9,1,0,73.7,39.5,40.9,66,1.1,0
99999,Queensland,Sep-25,2,118146,9.7,69.7,7,0.4,48.2,32.6,41.1,4571,3.9,513
99999,Queensland,Sep-25,3,256974,3.6,63.6,20,2.8,34.3,28.6,46.6,16564,6.4,7166
99999,Queensland,Sep-25,4,178448,-2.9,75.7,24,5.6,12.2,33.4,71.2,9214,5.2,10011
99999,Queensland,Sep-25,5,42826,-10.3,93.7,18,7.2,3.9,61.3,89.9,1115,2.6,3072
99999,Queensland,Sep-25,ALL,602147,1.6,70.5,16,3.4,28.7,31.1,55.8,31530,5.2,20762
